source_display,target_code,target_display
"CLORHIDRAT DOPAMINA GRIF 200 MG 6 AMPOLLAS 5 ML",C01CA04,"Dopamine"
"CLORURO MORFICO BRAUN  1% 10 AMPOLLAS 1 ML",N02AA01,"Morpine"
"CLORURO POTASICO 1 MEQ/ML SOL ORAL",A12BA01,"Potassium chloride"
"CLORURO SODICO 14.6% (2.5 MEQ/ML) SOLUCION ORAL F.M. 30 ML",A12CA01,"Sodium chloride"
"CLORURO SODICO FRESENIUS 0.9% 20 FRASCOS 250 ML",A12CA01,"Sodium chloride"
"CLOXACILINA NORMON 1 G 100 VIALES",J01CF02,"Cloxacillin"
"CLOXACILINA NORMON 500 MG 100 VIALES",J01CF02,"Cloxacillin"
"COLCHICINA SEID 0.5 MG 20 COMP",M04AC01,"Colchicine"
"COLIRIO CICLOPLEJICO 0,5% COLIRIO 10 ML F.M.",S01FA54,"Cyclopentolate, combinations"
"COLIRIO FENILEFRINA 2,5% COLIRIO 10 ML FM",S01FA54,"Cyclopentolate, combinations"
"CORGARD 80 MG 28 COMPRIMIDOS",C07AA12,"Nadolol"
"COROTROPE 1 MG/ML 10 AMPOLLAS 10ML",C01CE02,"Milrinone"
"DAKTARIN ORAL 2% GEL 4O G",A01AB09,"Miconazole"
"DAKTARIN TOPICO 2% CREMA 40 G",A01AB09,"Miconazole"
"DAPTOMICINA ACCORD EFG 350 MG 1 VIAL SOLUCION PERFUSION 20 ML",J01XX09,"Daptomycin"
"DENVAR 100 MG/5 ML SUSP 50 ML",J01DD08,"Cexifime"
"DEPAKINE 200 MG/ML SOLUCION ORAL 40 ML",N03AG01,"Valproic acid"
"DEPAKINE 400 MG 1 VIAL+1 AMP",N03AG01,"Valproic acid"
"DESARROL SOLUCION 200 ML",A16AA01,"Levocarnitine"
"DEXAMETASONA 1 MG/ML XAROP 100 ML",H02AB02,"Dexamethasone"
"DEXAMETASONA KERN 4 MG 100 AMPOLLAS 1 ML",H02AB02,"Dexamethasone"
"DEXDOR 100 MCG/ML  25 AMPOLLAS CONCENTRADO PERF 2 ML",N05CM18,"Dexmedetomidine"
"DIAZEPAM PRODES 10 MG 500 COMPRIMIDOS",N05BA01,"Diazepam"
"DIAZEPAM PRODES 2 MG/ML GOTAS I5 ML",N05BA01,"Diazepam"
"DIAZEPAM PRODES 5 MG 100 COMPRIMIDOS",N05BA01,"Diazepam"
"DIAZEPAM PRODES 5 MG 500 COMPRIMIDOS",N05BA01,"Diazepam"
"DIFLUCAN 200 MG/5 ML POLVO SUSP ORAL 35 ML",J02AC01,"Fluconazole"
"DIGOXINA KERN PHARMA 0.25 MG 50 COMPRIMIDOS",C01AA05,"Digoxin"
"DIPROGENTA CREMA 30 G",D07BC01,"Betamethasone and antiseptics"
"DOLOCATIL INF 100 MG/ML SOLUCION ORAL 30 ML",N02BE01,"Paracetamol"
"DOPAMINA CLORHIDRATO HIKMA 200 MG/ 5 ML AMP 10 AMP",C01CA04,"Dopamine"
"DURACEF 250 MG/5 ML SUSP 6O ML",J01DB05,"Cefadroxil"
"EMLA CREMA 30 G",N01BB52,"Lidocaine, combinations"
"ENALAPRIL 1 MG/ML SUSPENSION ORAL 30 ML",C09BA02,"Enalapril and diuretics"
"ENALAPRIL BELMAC 10 MG 56 COMPRIMIDOS",C09BA02,"Enalapril and diuretics"
"ENALAPRIL CINFA 5 MG 60 COMPRIMIDOS",C09BA02,"Enalapril and diuretics"
"ENANTYUM 50 MG 100 AMPOLLAS 2 ML",M01AE17,"Dexketoprofen"
"ENOXAPARINA ROVI 20 MG (2000 UI) 50 JERINGAS SOLUCION 0.2 ML",B01AB05,"Enoxaparin"
"ENOXAPARINA ROVI 40 MG (4000 UI) 50 JERINGAS SOLUCION 0.4 ML",B01AB05,"Enoxaparin"
"ENOXAPARINA ROVI 60 MG (6000 UI) 50 JERINGAS SOLUCION 0.6 ML",B01AB05,"Enoxaparin"
"ENOXAPARINA ROVI 80 MG (8000 UI) 50 JERINGAS SOLUCION 0.8 ML",B01AB05,"Enoxaparin"
"ERITROMICINA 15 MG CAPSULES F.M.",J01FA01,"erythromycin"
"ESPIRONOLACTONA 5 MG/ML SOL ORAL 30 ML",C03DA01,"Spironolactone"
"ESPIRONOLACTONA 5MG-HIDROCLOROTIAZIDA 5MG/ML 50ML SUSPENSIO FM",C03DA01,"Spironolactone"
"ESTILSONA GOTAS 10 ML",H02AB06,"Prednisolone"
"ETALPHA 2 MCG/ML GOTAS 10 ML",A11CC03,"Alfacalcidol"
"EUTIROX 25 MCG 100 COMPRIMIDOS",H03AA01,"Levothyroxine sodium"
"EUTIROX 50 MCG 100 COMPRIMIDOS",H03AA01,"Levothyroxine sodium"
"FENOBARBITAL 10 MG/ML SOL ORAL",N03AA02,"Phenobarbital"
"FENTANILO 0,05 MG/ML AMP 3 ML UCI/NEONATS",N02AB03,"Fentanyl"
"FERIV 20 MG/ML 5 AMPOLLAS 5 ML",B03AB02,"Saccharated iron oxide"
"FERROSOL GOTAS 30 ML",B03AA07,"Ferrous sulfate"
"FIADEK FRASCO 60 ML",A11A,"Multivitamin combinations"
